area_code,area,lon_left,lon_right,lat_bottom,lat_top
1,vehicles,-15.4172,-15.412,28.1343,28.1395
2,vehicles,-15.4172,-15.41474,28.13862,28.1429
3,containers,-15.4184,-15.41109,28.129,28.139
4,containers,-15.417,-15.412,28.14397,28.151
5,ship repairs,-15.417,-15.4026,28.1504,28.1568
6,bulk ,-15.40865,-15.405,28.13648,28.1429
7,general use,-15.41962,-15.4172,28.14611,28.1472
8,vehicles,-15.4175,-15.4172,28.1431,28.1482
9,vegetables,-15.4175,-15.4172,28.14183,28.1429
10,refrigerated goods,-15.421,-15.41962,28.141,28.1465
11,various use,-15.4215,-15.4172,28.1388,28.14183
12,fishing vessels,-15.42327,-15.42205,28.14183,28.15039
13,sailing vessels,-15.4464,-15.4245,28.1237,28.13007
14,sailing vessels,-15.42571,-15.42449,28.1322,28.13435
15,port area,-15.4305,-15.399,28.11,28.207
