area_code,order,area,lon,lat
1,1,vehicles,-15.4172,28.1343
2,1,vehicles,-15.4172,28.13862
3,1,containers,-15.4184,28.129
4,1,containers,-15.417,28.14397
5,1,ship repairs,-15.417,28.1504
6,1,bulk ,-15.40865,28.13648
7,1,general use,-15.41962,28.14611
8,1,vehicles,-15.4175,28.1431
9,1,vegetables,-15.4175,28.14183
10,1,refrigerated goods,-15.421,28.141
11,1,various use,-15.4215,28.1388
12,1,fishing vessels,-15.42327,28.14183
13,1,sailing vessels,-15.4464,28.1237
14,1,sailing vessels,-15.42571,28.1322
15,1,port area,-15.4305,28.11
1,2,vehicles,-15.412,28.1395
2,2,vehicles,-15.41474,28.1429
3,2,containers,-15.41109,28.139
4,2,containers,-15.412,28.151
5,2,ship repairs,-15.4026,28.1568
6,2,bulk ,-15.405,28.1429
7,2,general use,-15.4172,28.1472
8,2,vehicles,-15.4172,28.1482
9,2,vegetables,-15.4172,28.1429
10,2,refrigerated goods,-15.41962,28.1465
11,2,various use,-15.4172,28.14183
12,2,fishing vessels,-15.42205,28.15039
13,2,sailing vessels,-15.4245,28.13007
14,2,sailing vessels,-15.42449,28.13435
15,2,port area,-15.399,28.207
1,3,vehicles,-15.4172,28.1395
2,3,vehicles,-15.4172,28.1429
3,3,containers,-15.4184,28.139
4,3,containers,-15.417,28.151
5,3,ship repairs,-15.417,28.1568
6,3,bulk ,-15.40865,28.1429
7,3,general use,-15.41962,28.1472
8,3,vehicles,-15.4175,28.1482
9,3,vegetables,-15.4175,28.1429
10,3,refrigerated goods,-15.421,28.1465
11,3,various use,-15.4215,28.14183
12,3,fishing vessels,-15.42327,28.15039
13,3,sailing vessels,-15.4464,28.13007
14,3,sailing vessels,-15.42571,28.13435
15,3,port area,-15.4305,28.207
1,4,vehicles,-15.412,28.1343
2,4,vehicles,-15.41474,28.13862
3,4,containers,-15.41109,28.129
4,4,containers,-15.412,28.14397
5,4,ship repairs,-15.4026,28.1504
6,4,bulk ,-15.405,28.13648
7,4,general use,-15.4172,28.14611
8,4,vehicles,-15.4172,28.1431
9,4,vegetables,-15.4172,28.14183
10,4,refrigerated goods,-15.41962,28.141
11,4,various use,-15.4172,28.1388
12,4,fishing vessels,-15.42205,28.14183
13,4,sailing vessels,-15.4245,28.1237
14,4,sailing vessels,-15.42449,28.1322
15,4,port area,-15.399,28.11
