area_code,area,lon_left,lon_right,lat_bottom,lat_top
1,vehicles,-15.416,-15.412,28.1365,28.1395
2,vehicles,-15.416,-15.41474,28.13951,28.1429
3,containers,-15.4184,-15.41109,28.129,28.139
4,containers,-15.416,-15.4125,28.14397,28.151
5,ship repairs,-15.4118,-15.4065,28.151,28.1568
6,bulk ,-15.40865,-15.407,28.13648,28.1429
7,general use,-15.4197,-15.4177,28.14611,28.1472
8,vehicles,-15.4176,-15.4171,28.1431,28.1472
9,vegetables,-15.41765,-15.4171,28.14183,28.1429
10,refrigerated goods,-15.4215,-15.42,28.141,28.145
11,various use,-15.41765,-15.4172,28.1391,28.1417
12,fishing vessels,-15.42327,-15.42205,28.1434,28.1472
13,sailing vessels,-15.43,-15.423,28.1234,28.13007
14,sailing vessels,-15.43,-15.42449,28.13265,28.1346
15,port area,-15.4305,-15.39845467,28.11,28.16214
