"imo","MMSI","ais.type","call.Sign","flag","gross.tonnage","deadweight","length","width","image.src","ship.type","name"
"",235095944,"Sailing Vessel","2GBD9","United Kingdom [GB]","","","11","3","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1304953&size=","Sailing Vessel","EL STAN"
"9300178",477133800,"Cargo","VRMY3","Hong Kong [HK]","19885","32573","177","28","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1870261&size=","Bulk Carrier","HAINAN ISLAND"
"9321500",220477000,"Cargo - Hazard D (Recognizable)","OVXP2","Denmark [DK]","170794","105750","397","71","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=70793&size=","Container Ship","ELEONORA MAERSK"
"9628568",356822000,"Cargo","3FWR5","Panama [PA]","23264","38168","179","30","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1038160&size=","General Cargo","BUNUN & WISDOM"
"9400162",225388000,"Cargo","E.C.O.E","Spain [ES]","3778","5000","100","12","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1275213&size=","General Cargo","FINITA R"
"9538127",311012500,"Other","C6XK6","Bahamas [BS]","7894","4450","92","21","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=290684&size=","Research/Survey Vessel","POLARCUS ASIMA"
"9594224",311055400,"Cargo","C6ZH3","Bahamas [BS]","24145","37930","189","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=833247&size=","Bulk Carrier","SZCZECIN"
"9563603",355899000,"Cargo","3FMU7","Panama [PA]","40896","76557","225","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=700750&size=","Bulk Carrier","HONG DAI"
"9605188",246894000,"Cargo","PCRT","Netherlands [NL]","24210","34735","179","97","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1455411&size=","Bulk Carrier","HANZE GDANSK"
"9392975",212579000,"Tug","5BLT2","Cyprus [CY]","2160","3250","71","9","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=409333&size=","Supply Vessel","SEA WITCH"
"9038751",352127000,"Tanker","3EYS3","Panama [PA]","25060","35722","176","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1618960&size=","Oil Products Tanker","HUASCAR"
"9364954",235066948,"Other","2BKQ8","United Kingdom [GB]","58294","97000","227","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=69847&size=","Drill Ship","STENA CARRON"
"9146821",377277000,"Cargo","J8B5408","St Vincent Grenadines","17997","30855","185","23","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=60449&size=","Bulk Carrier","BOS ANGEL"
"7932240",375602000,"Dive Vessel","J8B3528","St Vincent Grenadines","2008","1033","76","1","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=358361&size=","Diving Support Vessel","GERIMAL"
"9629079",235102679,"Cargo","2HDG3","United Kingdom [GB]","99998","104557","335","45","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2074523&size=","Container Ship","EVER LISSOME"
"",227153450,"Passenger","FAA7537","France [FR]","","","18","4","http://www.marinetraffic.com/img/no_photo.png","Passenger","SURFER 1936"
"9158410",249761000,"Cargo","9HFA5","Malta [MT]","25719","32034","189","7","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=96279&size=","General Cargo","TOSCANA"
"9261578",255802440,"Tanker","CQPG","Portugal [PT]","2708","3090","75","14","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=277497&size=","LPG Tanker","MADDY"
"9114969",247698000,"Tanker - Hazard A (Major)","IBOV","Italy [IT]","9914","14002","142","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=170970&size=","Chemical Tanker","SAPPHIRE"
"9484223",305546000,"Cargo","V2ET5","Antigua Barbuda [AG]","6351","9755","132","2","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=678928&size=","General Cargo","THORCO AVANTGARDE"
"",227522080,"Sailing Vessel","FT8704","France [FR]","","","13","4","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1667470&size=","Sailing Vessel","KERIDYA"
"9308091",538002090,"Tanker","V7GG5","Marshall Is [MH]","41994","73911","228","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=63697&size=","Crude Oil Tanker","NEW CONSTELLATION"
"9185700",657158000,"High Speed Craft","NBCB","Nigeria [NG]","171","17","31","7","http://www.marinetraffic.com/img/no_photo.png","High Speed Craft","KRISTEN"
"9518311",235080015,"Other","2DLM3","United Kingdom [GB]","12084","8000","134","24","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=426118&size=","Offshore Supply Ship","SEVEN PACIFIC"
"",219009704,"Pleasure Craft","XPD7488","Denmark [DK]","","","13","4","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1622521&size=","Pleasure Craft","MARTINA"
"9358632",538005202,"Tanker - Hazard B","V7BU6","Marshall Is [MH]","11660","20000","141","24","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1052599&size=","Oil/Chemical Tanker","CELSIUS MAYFAIR"
"9346706",244971000,"Cargo","PBOW","Netherlands [NL]","2984","4891","89","95","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=333722&size=","General Cargo","VOORNEDIJK"
"9507518",636091797,"Cargo","A8SZ4","Liberia [LR]","93186","178987","291","97","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=398685&size=","Bulk Carrier","E.R.BORNEO"
"8104204",619002000,"Fishing","TUN5022","Ivory Coast [CI]","956","","55","43","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1315645&size=","Fishing Vessel","SOLEVANT"
"9272230",477040800,"Cargo","VRZM4","Hong Kong [HK]","24167","30435","199","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=62854&size=","General Cargo","CHIPOLBROK SUN"
"9444118",538003584,"Reserved","V7RV5","Marshall Is [MH]","1731","1685","60","16","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1856882&size=","Multi Purpose Offshore Vessel","KATHY K"
"9016674",636016281,"Cargo","A8JH9","Liberia [LR]","10381","10603","150","01","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=620765&size=","Reefer","BALTIC PERFORMER"
"9268411",224127000,"Passenger","ECCK","Spain [ES]","3715","420","78","16","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=225371&size=","Ro-Ro/Passenger Ship","VOLCAN DE TINDAYA"
"9181675",229440000,"Cargo - Hazard A (Major)","9HA3329","Malta [MT]","53208","67795","294","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=77458&size=","Container Ship","MSC SARAH"
"9275323",441124000,"Cargo","DSPJ3","Korea [KR]","28171","48821","189","96","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=442213&size=","Bulk Carrier","HYUNDAI TREASURE"
