area_code	order	area	lon	lat
area_1	1	vehicles	-15,416	28,1365
area_1	2	vehicles	-15,412	28,1395
area_1	3	vehicles	-15,416	28,1395
area_1	4	vehicles	-15,412	28,1365
area_2	1	vehicles	-15,416	28,13951
area_2	2	vehicles	-15,41474	28,1429
area_2	3	vehicles	-15,416	28,1429
area_2	4	vehicles	-15,41474	28,13951
area_3	1	containers	-15,4184	28,129
area_3	2	containers	-15,41109	28,139
area_3	3	containers	-15,4184	28,139
area_3	4	containers	-15,41109	28,129
area_4	1	containers	-15,416	28,14397
area_4	2	containers	-15,4125	28,151
area_4	3	containers	-15,416	28,151
area_4	4	containers	-15,4125	28,14397
area_5	1	ship repairs	-15,4118	28,151
area_5	2	ship repairs	-15,4065	28,1568
area_5	3	ship repairs	-15,4118	28,1568
area_5	4	ship repairs	-15,4065	28,151
area_6	1	bulk 	-15,40865	28,13648
area_6	2	bulk 	-15,407	28,1429
area_6	3	bulk 	-15,40865	28,1429
area_6	4	bulk 	-15,407	28,13648
area_7	1	general use	-15,4197	28,14611
area_7	2	general use	-15,4177	28,1472
area_7	3	general use	-15,4197	28,1472
area_7	4	general use	-15,4177	28,14611
area_8	3	vehicles	-15,4171	28,1431
area_8	4	vehicles	-15,4176	28,1472
area_8	2	vehicles	-15,4171	28,1472
area_8	1	vehicles	-15,4176	28,1431
area_9	1	vegetables	-15,41765	28,14183
area_9	2	vegetables	-15,4171	28,1429
area_9	3	vegetables	-15,41765	28,1429
area_9	4	vegetables	-15,4171	28,14183
area_10	1	refrigerated goods	-15,4215	28,141
area_10	2	refrigerated goods	-15,42	28,145
area_10	3	refrigerated goods	-15,4215	28,145
area_10	4	refrigerated goods	-15,42	28,141
area_11	1	various use	-15,41765	28,1391
area_11	2	various use	-15,4172	28,1417
area_11	3	various use	-15,41765	28,1417
area_11	4	various use	-15,4172	28,1391
area_12	1	fishing vessels	-15,42327	28,1434
area_12	2	fishing vessels	-15,42205	28,1472
area_12	3	fishing vessels	-15,42327	28,1472
area_12	4	fishing vessels	-15,42205	28,1434
area_13	1	sailing vessels	-15,43	28,1234
area_13	2	sailing vessels	-15,423	28,13007
area_13	3	sailing vessels	-15,43	28,13007
area_13	4	sailing vessels	-15,423	28,1234
area_14	1	sailing vessels	-15,43	28,13265
area_14	2	sailing vessels	-15,42449	28,1346
area_14	3	sailing vessels	-15,43	28,1346
area_14	4	sailing vessels	-15,42449	28,13265
area_15	1	port area	-15,4305	28,11
area_15	2	port area	-15,39845467	28,16214
area_15	3	port area	-15,4305	28,16214
area_15	4	port area	-15,39845467	28,11
