TRIP_ID,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,MMSI,VESSEL_TYPE
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,203048100,Pleasure Craft
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,1980,205741010,Pleasure Craft
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69120,NA,69120,205864510,Pleasure Craft
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24120,NA,24120,205864510,Pleasure Craft
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58680,NA,58680,205864510,Pleasure Craft
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15120,NA,15120,205864510,Pleasure Craft
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12600,NA,12600,205864510,Pleasure Craft
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47220,NA,48780,205864510,Pleasure Craft
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55740,NA,58080,205864510,Pleasure Craft
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173400,NA,176400,205864510,Pleasure Craft
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16560,NA,16560,205864510,Pleasure Craft
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17640,NA,17640,205864510,Pleasure Craft
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60480,NA,60480,205864510,Pleasure Craft
21,NA,19080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22680,207137000,General Cargo
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13140,NA,14220,207337000,Pleasure Craft
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97260,209098000,Container Ship
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107760,209098000,Container Ship
