"START_LON","START_LAT"
-15.42325,28.12765
-15.42616,28.1307
-15.42618,28.13068
-15.42607,28.13067
-15.42614,28.13068
-15.4262,28.13064
-15.4261,28.13069
-15.42621,28.13066
-15.42624,28.13064
-15.42607,28.13068
-15.42253,28.12921
-15.42034,28.12743
-15.41702,28.12501
-15.41148,28.12142
-15.40773,28.12045
-15.40431,28.11973
-15.40116,28.12068
-15.39789,28.12194
-15.39472,28.12301
-15.39159,28.12413
-15.38869,28.12517
-15.38702,28.12543
-15.38295,28.12617
-15.37933,28.12693
-15.37563,28.12791
-15.42589,28.12743
-15.42595,28.12733
-15.42452,28.12823
-15.42247,28.12693
-15.41932,28.12348
-15.41642,28.12046
-15.41395,28.11861
-15.41096,28.11683
-15.40637,28.11493
-15.40318,28.11378
-15.39884,28.11342
-15.39666,28.11428
-15.39485,28.11501
-15.39448,28.11577
-15.39458,28.11646
-15.39412,28.1194
-15.39283,28.12083
-15.38718,28.1213
-15.38238,28.12043
-15.37888,28.11967
-15.42708,28.12673
-15.42704,28.12664
-15.42703,28.12667
-15.42706,28.12669
-15.42706,28.12669
-15.42706,28.12669
-15.42706,28.1267
-15.42705,28.1267
-15.42706,28.12668
-15.42705,28.1267
-15.42705,28.12668
-15.42707,28.12669
-15.42706,28.12669
-15.42704,28.12668
-15.42707,28.12669
-15.42705,28.12668
-15.42705,28.12668
-15.42707,28.12668
-15.42707,28.12668
-15.42707,28.12669
-15.42706,28.12669
-15.42706,28.12669
-15.42705,28.12669
-15.42707,28.12668
-15.42705,28.12668
-15.42707,28.12669
-15.42706,28.12669
-15.42705,28.12668
-15.42704,28.12669
-15.42708,28.12669
-15.42705,28.12669
-15.42704,28.12669
-15.42705,28.12665
-15.42705,28.12668
-15.42706,28.12669
-15.42707,28.12669
-15.42707,28.12669
-15.42705,28.12668
-15.42705,28.12668
-15.42706,28.1267
-15.42704,28.12668
-15.42705,28.12669
-15.42706,28.12669
-15.42705,28.12666
-15.42705,28.12667
-15.42704,28.12668
-15.42706,28.12669
-15.42705,28.12669
-15.42706,28.12669
-15.42706,28.12669
-15.42706,28.12668
-15.42706,28.12668
-15.42703,28.1267
-15.42705,28.1267
-15.42708,28.1267
-15.42707,28.12671
-15.42708,28.12671
-15.42707,28.12669
-15.42706,28.12671
-15.42705,28.12667
-15.42706,28.12669
-15.42706,28.12669
-15.42706,28.1267
-15.42705,28.1267
-15.42705,28.12668
-15.42706,28.12669
-15.42707,28.12669
-15.42706,28.12668
-15.42705,28.12668
-15.42706,28.12669
-15.42706,28.12669
-15.42706,28.12669
-15.42705,28.12667
-15.42707,28.12669
-15.42706,28.12668
-15.42706,28.12668
-15.42706,28.12668
-15.42706,28.12668
-15.42704,28.12668
-15.42706,28.12667
-15.42707,28.1267
-15.42707,28.1267
-15.42706,28.12669
-15.42706,28.12669
-15.42706,28.12669
-15.42707,28.12668
-15.42704,28.12667
-15.42705,28.1267
-15.42705,28.12668
-15.42709,28.12668
-15.42706,28.12669
-15.42705,28.12669
-15.42704,28.12669
-15.42704,28.12668
-15.42704,28.12668
-15.42706,28.12668
-15.42706,28.12667
-15.42704,28.12669
-15.42709,28.12669
-15.42704,28.12667
-15.42707,28.12668
-15.42706,28.12669
-15.42705,28.12668
-15.42706,28.12669
-15.42706,28.12669
-15.42705,28.12668
-15.42706,28.12668
-15.42705,28.1267
-15.42704,28.12666
-15.42702,28.12668
-15.42705,28.12668
-15.42708,28.1267
-15.42707,28.12672
-15.4271,28.1267
-15.42705,28.12668
-15.42704,28.1267
-15.42703,28.12667
-15.42705,28.12668
-15.42704,28.12669
-15.42705,28.12667
-15.42704,28.12668
-15.42704,28.1267
-15.42705,28.12667
-15.42705,28.1267
-15.42706,28.12668
-15.42705,28.12668
-15.42707,28.1267
-15.42705,28.12668
-15.42707,28.1267
-15.42706,28.12668
-15.42708,28.12668
-15.42705,28.12667
-15.42702,28.12669
-15.42704,28.1267
-15.42704,28.12668
-15.42703,28.12668
-15.42706,28.1267
-15.42704,28.12668
-15.42704,28.12669
-15.42706,28.12669
-15.42706,28.12668
-15.42706,28.12669
-15.42704,28.12669
-15.42706,28.12668
-15.42706,28.12668
-15.42705,28.12669
-15.42706,28.12669
-15.42706,28.12668
-15.42706,28.12669
-15.42706,28.12669
-15.42709,28.12668
-15.42704,28.12668
-15.42705,28.12669
-15.42706,28.12668
-15.42707,28.12668
-15.42707,28.12668
-15.42706,28.12669
-15.42705,28.12667
-15.42706,28.12669
-15.42706,28.12668
-15.42706,28.12669
-15.42705,28.12668
-15.42704,28.12668
-15.42704,28.12668
-15.42704,28.12668
-15.42706,28.12668
-15.42706,28.1267
-15.42707,28.1267
-15.42705,28.1267
-15.42558,28.12768
-15.42273,28.12849
-15.42283,28.13121
-15.42287,28.13312
-15.42461,28.13228
-15.42422,28.13023
-15.42492,28.13174
-15.42389,28.12957
-15.42252,28.12746
-15.42246,28.12619
-15.42319,28.12763
-15.4244,28.12841
-15.42631,28.12749
-15.42716,28.12685
-15.42706,28.12668
-15.42706,28.12668
-15.42705,28.12668
-15.42706,28.12669
-15.42706,28.12669
-15.42706,28.1267
-15.42651,28.12727
-15.42376,28.12816
-15.4234,28.12665
-15.42302,28.12484
-15.42236,28.12491
-15.42284,28.12613
-15.42263,28.12614
-15.42258,28.12615
-15.4188,28.12514
-15.41919,28.12218
-15.42037,28.1233
-15.42184,28.12552
-15.42205,28.12701
-15.423,28.12755
-15.42342,28.12762
-15.42545,28.12789
-15.42651,28.12728
-15.42706,28.1267
-15.42706,28.1267
-15.42706,28.1267
-15.42706,28.12668
-15.42704,28.12669
-15.42705,28.12667
-15.42705,28.1267
-15.42705,28.12668
-15.42705,28.12669
-15.42706,28.12669
-15.42705,28.1267
-15.42704,28.12668
-15.42707,28.12669
-15.42705,28.12669
-15.42705,28.12668
-15.42706,28.12668
-15.42706,28.12669
-15.42704,28.1267
-15.42706,28.12668
-15.42706,28.12667
-15.42706,28.12667
-15.42708,28.12668
-15.42706,28.12668
-15.42705,28.1267
-15.42705,28.12668
-15.42706,28.12667
-15.42707,28.12668
-15.42704,28.1267
-15.42704,28.12667
-15.42704,28.12668
-15.42706,28.12669
-15.42707,28.12668
-15.42704,28.12668
-15.42706,28.12668
-15.42706,28.12668
-15.42706,28.12669
-15.42707,28.12669
-15.42706,28.1267
-15.42708,28.12668
-15.42705,28.12669
-15.42705,28.12667
-15.42706,28.1267
-15.42703,28.12669
-15.42706,28.12667
-15.42705,28.12668
-15.42707,28.12668
-15.42706,28.12668
-15.42706,28.12669
-15.42705,28.12668
-15.42708,28.12669
-15.42704,28.12669
-15.42705,28.12668
-15.42705,28.12669
-15.42706,28.12669
-15.42706,28.1267
-15.42704,28.1267
-15.42701,28.12667
-15.42707,28.12668
-15.42706,28.1267
-15.42706,28.1267
-15.42707,28.1267
-15.42705,28.12668
-15.42705,28.12665
-15.42705,28.1267
-15.42705,28.12667
-15.42706,28.12667
-15.42706,28.12669
-15.42704,28.12669
-15.42705,28.12671
-15.42705,28.12668
-15.42704,28.1267
-15.42704,28.12668
-15.42705,28.1267
-15.42706,28.12668
-15.42707,28.12669
-15.42706,28.12668
-15.42706,28.12668
-15.42706,28.12669
-15.42706,28.12667
-15.42706,28.12668
-15.42707,28.12667
-15.42702,28.12668
-15.42705,28.12669
-15.42708,28.12671
-15.42706,28.12669
-15.42705,28.12668
-15.42706,28.12668
-15.42704,28.12668
-15.42706,28.12669
-15.42708,28.12668
-15.42707,28.12668
-15.42706,28.12669
-15.42705,28.12667
-15.42706,28.12667
-15.42706,28.12668
-15.42706,28.1267
-15.42706,28.12668
-15.42706,28.12669
-15.42705,28.12668
-15.42704,28.12667
-15.42705,28.12668
-15.42705,28.12668
-15.42705,28.12666
-15.42706,28.12669
-15.42707,28.12668
-15.42706,28.12668
-15.42706,28.12668
-15.42706,28.12669
-15.42706,28.1267
-15.42706,28.12669
-15.42706,28.12669
-15.42703,28.12669
-15.42705,28.12669
-15.42706,28.1267
-15.42632,28.12737
-15.4256,28.12632
-15.42482,28.12631
-15.42482,28.12631
-15.42484,28.12632
-15.42535,28.12661
-15.42412,28.12839
-15.42253,28.1247
-15.42184,28.12478
-15.4153,28.12564
-15.41036,28.12244
-15.40456,28.12028
-15.39907,28.1218
-15.3943,28.12545
-15.3891,28.12847
-15.38317,28.12762
-15.3801,28.12705
-15.37492,28.12642
-15.37553,28.12384
-15.38072,28.12277
-15.38602,28.12264
-15.39131,28.12219
-15.39678,28.1201
-15.40032,28.11882
-15.40593,28.11879
-15.41007,28.1191
-15.41438,28.11947
-15.41806,28.11997
-15.41947,28.12146
-15.41893,28.12481
-15.41879,28.12747
-15.42212,28.1267
-15.4229,28.12757
-15.42411,28.1285
-15.42549,28.12806
-15.42719,28.12686
-15.42706,28.12669
-15.42706,28.1267
-15.42706,28.1267
-15.42706,28.1267
-15.42705,28.12668
-15.42705,28.1267
-15.42704,28.1267
-15.42704,28.1267
-15.42704,28.12668
-15.42706,28.1267
-15.42706,28.1267
-15.42706,28.12668
-15.42706,28.12667
-15.42706,28.12668
-15.42706,28.12667
-15.42706,28.12669
-15.42706,28.12669
-15.42704,28.12669
-15.42704,28.12668
-15.42706,28.12668
-15.42705,28.12668
-15.42707,28.12669
-15.42705,28.12669
-15.42705,28.12668
-15.42706,28.12669
-15.42707,28.12668
-15.42705,28.12667
-15.42705,28.12668
-15.42705,28.12668
-15.42705,28.12669
-15.42706,28.12668
-15.42706,28.12669
-15.42707,28.12669
-15.42705,28.12668
-15.42707,28.1267
-15.42706,28.1267
-15.42707,28.12669
-15.42705,28.12669
-15.42706,28.12666
-15.42706,28.12667
-15.42707,28.12669
-15.42707,28.12669
-15.42705,28.12669
-15.42707,28.12668
-15.42706,28.12668
-15.42705,28.12667
-15.42706,28.1267
-15.42706,28.1267
-15.42704,28.12668
-15.42705,28.1267
-15.42706,28.1267
-15.42708,28.1267
-15.42706,28.1267
-15.42706,28.1267
-15.42707,28.12669
-15.42703,28.12664
-15.42704,28.12666
-15.42704,28.12666
-15.42706,28.12668
-15.42707,28.12668
-15.42704,28.12668
-15.42706,28.12671
-15.42706,28.12668
-15.42706,28.12668
-15.42705,28.12668
-15.42705,28.12669
-15.42705,28.12669
-15.42706,28.12668
-15.42705,28.1267
-15.42707,28.12668
-15.42707,28.12668
-15.42707,28.12667
-15.42704,28.12669
-15.42706,28.12668
-15.42704,28.1267
-15.42705,28.12669
-15.42706,28.12668
-15.42707,28.12671
-15.42706,28.12672
-15.42706,28.1267
-15.42704,28.12668
-15.42707,28.12669
-15.42706,28.12667
-15.42705,28.12669
-15.42706,28.12668
-15.42707,28.12668
-15.42705,28.12668
-15.42707,28.12669
-15.42706,28.1267
-15.42706,28.12669
-15.42705,28.1267
-15.42704,28.1267
-15.42706,28.1267
-15.42705,28.12669
-15.42704,28.12668
-15.42704,28.12667
-15.42706,28.12668
-15.42706,28.12668
-15.42706,28.12668
-15.42706,28.12668
-15.42706,28.1267
-15.42704,28.12669
-15.42706,28.12669
-15.42705,28.1267
-15.42704,28.12669
-15.42705,28.12669
-15.42704,28.12669
-15.42708,28.1267
-15.42707,28.1267
-15.37059,28.12208
-15.37107,28.12187
-15.37154,28.12158
-15.37197,28.12132
-15.37231,28.12101
-15.3726,28.12072
-15.373,28.12003
-15.37349,28.11929
-15.37401,28.11833
-15.37435,28.1176
-15.37546,28.11737
-15.37848,28.11719
-15.38338,28.11696
-15.38883,28.11672
-15.39636,28.11657
-15.40401,28.11843
-15.4071,28.12265
-15.40774,28.12561
-15.40903,28.13098
-15.40965,28.13335
-15.41064,28.13686
-15.41197,28.13829
-15.41288,28.13908
-15.41399,28.14004
-15.41473,28.14116
-15.41504,28.14193
-15.41502,28.14224
-15.41507,28.14239
-15.41511,28.14241
-15.41508,28.14242
-15.41506,28.14239
-15.41509,28.14239
-15.41514,28.1424
-15.41507,28.14239
-15.41564,28.14214
-15.41506,28.14235
-15.41508,28.14242
-15.41509,28.1424
-15.41508,28.14237
-15.41512,28.14238
-15.4151,28.14239
-15.41508,28.14245
-15.41433,28.14147
-15.41304,28.14009
-15.41089,28.13744
-15.40985,28.13334
-15.4091,28.12754
-15.40851,28.12253
-15.40625,28.11578
-15.39939,28.11138
-15.39509,28.10904
-15.38762,28.10915
-15.38352,28.11457
-15.38001,28.11939
-15.37541,28.12559
-15.42666,28.12871
-15.42664,28.12873
-15.4266,28.12869
-15.42664,28.12871
-15.42666,28.12869
-15.42666,28.12873
-15.42664,28.12874
-15.42668,28.12874
-15.42667,28.12873
-15.42662,28.12878
-15.42387,28.12836
-15.42171,28.12609
-15.41735,28.12351
-15.41291,28.12117
-15.40689,28.11982
-15.40194,28.12181
-15.39882,28.12523
-15.39622,28.12893
-15.39435,28.13289
-15.3933,28.13717
-15.39273,28.1416
-15.39267,28.14449
-15.39258,28.1474
-15.38103,28.14801
-15.38043,28.13312
-15.381,28.12475
-15.38907,28.12094
-15.39769,28.11833
-15.40531,28.11867
-15.40732,28.12319
-15.40823,28.12744
-15.40967,28.13367
-15.41037,28.13745
-15.41054,28.14009
-15.41063,28.14131
-15.41124,28.14234
-15.4114,28.14279
-15.41162,28.14293
-15.41162,28.1429
-15.41164,28.1429
-15.41162,28.1429
-15.41162,28.14291
-15.41163,28.1429
-15.41163,28.14291
-15.41162,28.14292
-15.41161,28.14292
-15.41164,28.1429
-15.41161,28.14291
-15.41163,28.1429
-15.41165,28.14289
-15.41164,28.1429
-15.41162,28.14291
-15.41162,28.14291
-15.41162,28.1429
-15.41163,28.14291
-15.41166,28.14286
-15.41161,28.14291
-15.41163,28.14291
-15.41166,28.1429
-15.41163,28.14291
-15.41162,28.1429
-15.4116,28.14289
-15.41157,28.14288
-15.41166,28.14288
-15.41163,28.1429
-15.4116,28.14288
-15.41163,28.14288
-15.41161,28.14289
-15.41161,28.14289
-15.41163,28.14288
-15.41164,28.14291
-15.41166,28.14291
-15.41161,28.14291
-15.41164,28.14289
-15.41164,28.1429
-15.41164,28.14288
-15.41163,28.1429
-15.41163,28.1429
-15.41162,28.1429
-15.41163,28.1429
-15.41162,28.14289
-15.41163,28.1429
-15.41163,28.14289
-15.41162,28.14291
-15.41161,28.14291
-15.41162,28.14289
-15.41162,28.14288
-15.41162,28.1429
-15.41164,28.14289
-15.41164,28.1429
-15.41165,28.14287
-15.41164,28.1429
-15.41163,28.1429
-15.41163,28.14292
-15.41162,28.14291
-15.41162,28.14291
-15.41164,28.1429
-15.41163,28.1429
-15.41164,28.14292
-15.41163,28.14289
-15.41164,28.14293
-15.41163,28.14292
-15.41166,28.14291
-15.41164,28.14293
-15.41162,28.14289
-15.41163,28.14291
-15.41164,28.14291
-15.41164,28.1429
-15.41165,28.1429
-15.41162,28.14292
-15.41162,28.14291
-15.41133,28.14261
-15.41094,28.14073
-15.40932,28.13428
-15.40766,28.12805
-15.40642,28.12192
-15.40291,28.11664
-15.39631,28.11411
-15.38935,28.11418
-15.38502,28.14381
-15.38469,28.13529
-15.38437,28.12627
-15.38415,28.11935
-15.38425,28.11248
-15.38933,28.11045
-15.39559,28.11337
-15.4016,28.11652
-15.4068,28.11966
-15.40804,28.12518
-15.40896,28.13003
-15.40981,28.13437
-15.41029,28.13741
-15.41065,28.14019
-15.41133,28.14217
-15.41107,28.14323
-15.41118,28.14352
-15.41129,28.14315
-15.41142,28.14328
-15.41144,28.14312
-15.41156,28.14301
-15.41162,28.14301
-15.41163,28.14299
-15.41162,28.14301
-15.41161,28.14302
-15.41163,28.14303
-15.41163,28.143
-15.41164,28.143
-15.41164,28.14296
-15.41163,28.14297
-15.41164,28.14297
-15.41164,28.143
-15.41164,28.14299
-15.41164,28.14299
-15.41161,28.14303
-15.41161,28.143
-15.41162,28.14298
-15.41162,28.143
-15.41161,28.14298
-15.4116,28.14301
-15.41162,28.14299
-15.41159,28.143
-15.4116,28.14299
-15.41162,28.14299
-15.41163,28.14301
-15.41164,28.14299
-15.41164,28.14299
-15.41163,28.14299
-15.41161,28.14299
-15.41163,28.143
-15.41162,28.14299
-15.41159,28.14298
-15.4116,28.14301
-15.41164,28.143
-15.41163,28.143
-15.41163,28.14298
-15.41162,28.14297
-15.41162,28.143
-15.41163,28.143
-15.41162,28.14298
-15.41162,28.14298
-15.41161,28.14299
-15.41163,28.14299
-15.41163,28.143
-15.41162,28.14299
-15.41164,28.143
-15.41162,28.14301
-15.41162,28.14301
-15.41163,28.14298
-15.41162,28.143
-15.41162,28.14301
-15.41163,28.14301
-15.41162,28.143
-15.41163,28.14299
-15.41162,28.143
-15.41162,28.14299
-15.41162,28.14299
-15.41162,28.14299
-15.41161,28.14299
-15.41161,28.14299
-15.41161,28.143
-15.41161,28.14299
-15.41161,28.14297
-15.41163,28.14302
-15.41162,28.143
-15.41125,28.14304
-15.41157,28.14301
-15.41162,28.14301
-15.41162,28.14301
-15.41162,28.14301
-15.41161,28.14302
-15.41162,28.14301
-15.41164,28.14299
-15.41163,28.14299
-15.41162,28.14301
-15.41164,28.14302
-15.41162,28.14302
-15.41129,28.14284
-15.41108,28.14195
-15.411,28.14034
-15.41073,28.13938
-15.4103,28.13807
-15.41022,28.13659
-15.41003,28.13334
-15.40993,28.13042
-15.40989,28.12776
-15.41004,28.12705
-15.41018,28.12633
-15.4104,28.12573
-15.4105,28.12493
-15.41038,28.12439
-15.41093,28.12392
-15.41231,28.12381
-15.4135,28.12298
-15.41397,28.12188
-15.41382,28.12156
-15.41249,28.12196
-15.41316,28.12153
-15.41354,28.12199
-15.41339,28.12264
-15.41354,28.12255
-15.41409,28.12191
-15.41417,28.1215
-15.41368,28.12203
-15.41328,28.12269
-15.41316,28.12266
-15.41319,28.12205
-15.41347,28.12126
-15.41325,28.12149
-15.41289,28.12195
-15.41329,28.12214
-15.41336,28.12257
-15.41073,28.12075
-15.40596,28.11678
-15.39987,28.11584
-15.39231,28.1158
-15.38577,28.11574
-15.37953,28.1183
-15.3743,28.12074
-15.37683,28.12533
-15.383,28.12317
-15.388,28.121
-15.38983,28.12017
-15.39083,28.11933
-15.391,28.1185
-15.39133,28.11783
-15.39333,28.11667
-15.40033,28.1165
-15.4035,28.1175
-15.40883,28.12383
-15.41033,28.13067
-15.41067,28.13567
-15.41117,28.13867
-15.41117,28.14083
-15.4115,28.14267
-15.4115,28.143
-15.41133,28.14317
-15.4115,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.4115,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41133,28.14283
-15.41067,28.13717
-15.40967,28.13067
-15.40917,28.1275
-15.40683,28.11983
-15.39833,28.118
-15.3895,28.12117
-15.3805,28.12517
-15.37483,28.13067
-15.38167,28.126
-15.3885,28.12283
-15.39583,28.12
-15.39933,28.11883
-15.4055,28.119
-15.408,28.12267
-15.4085,28.125
-15.40933,28.129
-15.41,28.13317
-15.4105,28.1365
-15.41117,28.14017
-15.41117,28.14167
-15.411,28.14267
-15.4115,28.14317
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.4115,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.4115,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41183,28.14317
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.4115,28.143
-15.41167,28.143
-15.4115,28.143
-15.41167,28.143
-15.41167,28.143
-15.41133,28.1425
-15.41083,28.13783
-15.40967,28.1315
-15.4085,28.12517
-15.40483,28.118
-15.39533,28.11917
-15.38517,28.1245
-15.37333,28.13017
-15.37983,28.12433
-15.38517,28.12033
-15.387,28.11917
-15.387,28.1185
-15.39283,28.11833
-15.39817,28.11767
-15.40283,28.11767
-15.40733,28.11933
-15.40883,28.12483
-15.41017,28.13083
-15.41067,28.1355
-15.411,28.13967
-15.41117,28.1415
-15.4115,28.14267
-15.4115,28.143
-15.4115,28.14317
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.4115,28.14283
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.4115,28.143
-15.41167,28.143
-15.41167,28.14283
-15.41173,28.14309
-15.41167,28.143
-15.4115,28.143
-15.41167,28.14317
-15.41167,28.143
-15.41167,28.14317
-15.4115,28.14317
-15.41167,28.143
-15.41167,28.143
-15.41167,28.143
-15.4115,28.143
-15.41083,28.13967
-15.40983,28.13283
-15.409,28.126
-15.40683,28.118
-15.39633,28.1135
-15.38367,28.114
-15.37017,28.13033
-15.37367,28.12733
-15.377,28.12417
-15.37867,28.123
-15.38,28.1225
-15.38067,28.122
-15.38067,28.12167
-15.38067,28.121
-15.3805,28.12067
-15.38133,28.12
-15.38233,28.11967
-15.38383,28.11933
-15.38917,28.11883
-15.39467,28.11867
-15.399,28.118
-15.40333,28.11767
-15.4065,28.12033
-15.4085,28.12533
-15.40917,28.1295
-15.41,28.13433
-15.41033,28.1375
-15.41083,28.141
-15.41083,28.14283
-15.41117,28.14317
-15.41117,28.14317
-15.41117,28.14283
-15.41133,28.14283
-15.4115,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.4115,28.143
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41183,28.14267
-15.41169,28.14279
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14267
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.4115,28.14283
-15.4115,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41167,28.14283
-15.41133,28.1415
-15.41033,28.13483
-15.40983,28.13183
-15.40917,28.126
-15.40633,28.11733
-15.39467,28.11533
-15.3835,28.12317
-15.37773,28.10093
-15.37903,28.10758
-15.37953,28.11098
-15.37947,28.11355
-15.37953,28.11402
-15.37975,28.11413
-15.38008,28.11373
-15.38097,28.11372
-15.38153,28.11395
-15.38148,28.11375
-15.38065,28.114
-15.38058,28.1144
-15.3828,28.11412
-15.3854,28.11287
-15.38855,28.11235
-15.39458,28.11207
-15.39907,28.11178
-15.40267,28.11128
