"TRIP_ID","area_1","area_2","area_3","area_4","area_5","area_6","area_7","area_8","area_9","area_10","area_11","area_12","area_13","area_14","area_15"
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69600,NA,72120
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24120,NA,24120
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58680,NA,58680
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15120,NA,15120
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12600,NA,12600
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47220,NA,48780
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55740,NA,58080
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173400,NA,176400
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16560,NA,16560
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17640,NA,17640
26,NA,19080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73620,NA,194640
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148620
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80700
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45360
30,NA,NA,49500,NA,NA,NA,NA,12840,NA,NA,NA,NA,NA,NA,124620
31,NA,NA,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5880
32,NA,NA,73560,NA,NA,NA,NA,NA,NA,NA,10500,NA,NA,NA,92820
33,NA,NA,26580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27720
35,NA,NA,58140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61260
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27840
37,NA,NA,60120,23280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88980
38,NA,NA,105780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196560
39,NA,NA,27240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29100
40,NA,NA,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28680
41,NA,NA,25380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27240
42,NA,NA,123720,NA,NA,NA,NA,NA,NA,NA,NA,NA,632220,NA,760560
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1817940,NA,1817940
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18300,NA,18300
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77940,NA,77940
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19080,NA,20220
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6840,NA,9900
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,NA,2880
49,NA,NA,NA,NA,NA,NA,NA,NA,6660,NA,NA,NA,NA,NA,55140
50,NA,NA,20460,NA,NA,NA,NA,NA,NA,NA,33000,NA,NA,NA,74520
51,NA,NA,18120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20280
52,NA,NA,25680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27960
53,NA,NA,27660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124140
54,NA,NA,81480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83220
55,NA,NA,133440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138420
56,NA,NA,55620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58080
57,NA,NA,9240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260
58,NA,NA,38040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38880
59,NA,NA,25140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27000
60,NA,NA,41820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106620
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80820
62,NA,63300,NA,NA,NA,NA,NA,35280,NA,NA,46140,9480,NA,NA,533280
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7800,NA,NA,15480
64,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,10380,NA,NA,37800
65,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,29340,NA,NA,67920
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,NA,NA,5940
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5640
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5580
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57900
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136800
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700,NA,NA,14940
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,4740
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28920,NA,NA,41340
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3840,NA,NA,7200
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51120,NA,NA,60720
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11520,NA,NA,13860
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1380,NA,NA,7680
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2040
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,NA,NA,14220
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3780,NA,NA,8760
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340,NA,NA,4560
