"VESSEL_TYPE","hour_time","n.x","n.y","prop"
"Bulk Carrier",0,158,3671,0.0430400435848543
"Bulk Carrier",1,117,3671,0.0318714246799237
"Bulk Carrier",2,75,3671,0.0204304004358485
"Bulk Carrier",3,51,3671,0.013892672296377
"Bulk Carrier",4,85,3671,0.023154453827295
"Bulk Carrier",5,104,3671,0.0283301552710433
"Bulk Carrier",6,217,3671,0.0591119585943884
"Bulk Carrier",7,330,3671,0.0898937619177336
"Bulk Carrier",8,193,3671,0.0525742304549169
"Bulk Carrier",9,194,3671,0.0528466357940616
"Bulk Carrier",10,91,3671,0.0247888858621629
"Bulk Carrier",11,100,3671,0.0272405339144647
"Bulk Carrier",12,155,3671,0.0422228275674203
"Bulk Carrier",13,228,3671,0.0621084173249796
"Bulk Carrier",14,143,3671,0.0389539634976846
"Bulk Carrier",15,124,3671,0.0337782620539363
"Bulk Carrier",16,153,3671,0.041678016889131
"Bulk Carrier",17,145,3671,0.0394987741759738
"Bulk Carrier",18,262,3671,0.0713701988558976
"Bulk Carrier",19,215,3671,0.0585671479160992
"Bulk Carrier",20,151,3671,0.0411332062108417
"Bulk Carrier",21,171,3671,0.0465813129937347
"Bulk Carrier",22,82,3671,0.0223372378098611
"Bulk Carrier",23,127,3671,0.0345954780713702
"Container Ship",0,177,4141,0.0427432987201159
"Container Ship",1,139,4141,0.0335667713112775
"Container Ship",2,196,4141,0.0473315624245351
"Container Ship",3,101,4141,0.024390243902439
"Container Ship",4,261,4141,0.0630282540449167
"Container Ship",5,507,4141,0.122434194638976
"Container Ship",6,229,4141,0.0553006520164212
"Container Ship",7,81,4141,0.0195604926346293
"Container Ship",8,91,4141,0.0219753682685342
"Container Ship",9,121,4141,0.0292199951702487
"Container Ship",10,159,4141,0.0383965225790872
"Container Ship",11,187,4141,0.0451581743540208
"Container Ship",12,114,4141,0.0275295822265153
"Container Ship",13,169,4141,0.040811398212992
"Container Ship",14,129,4141,0.0311518956773726
"Container Ship",15,120,4141,0.0289785076068582
"Container Ship",16,207,4141,0.0499879256218305
"Container Ship",17,117,4141,0.0282540449166868
"Container Ship",18,161,4141,0.0388794977058681
"Container Ship",19,215,4141,0.0519198261289544
"Container Ship",20,128,4141,0.0309104081139821
"Container Ship",21,94,4141,0.0226998309587056
"Container Ship",22,214,4141,0.0516783385655639
"Container Ship",23,224,4141,0.0540932141994687
"Fishing Vessel",1,21,903,0.0232558139534884
"Fishing Vessel",2,4,903,0.0044296788482835
"Fishing Vessel",3,15,903,0.0166112956810631
"Fishing Vessel",4,17,903,0.0188261351052049
"Fishing Vessel",5,39,903,0.0431893687707641
"Fishing Vessel",6,41,903,0.0454042081949059
"Fishing Vessel",7,19,903,0.0210409745293466
"Fishing Vessel",8,44,903,0.0487264673311185
"Fishing Vessel",9,29,903,0.0321151716500554
"Fishing Vessel",10,53,903,0.0586932447397564
"Fishing Vessel",11,67,903,0.0741971207087486
"Fishing Vessel",12,126,903,0.13953488372093
"Fishing Vessel",13,72,903,0.079734219269103
"Fishing Vessel",14,37,903,0.0409745293466224
"Fishing Vessel",15,63,903,0.0697674418604651
"Fishing Vessel",16,73,903,0.0808416389811739
"Fishing Vessel",17,41,903,0.0454042081949059
"Fishing Vessel",19,39,903,0.0431893687707641
"Fishing Vessel",20,64,903,0.070874861572536
"Fishing Vessel",21,6,903,0.00664451827242525
"Fishing Vessel",22,32,903,0.035437430786268
"Fishing Vessel",23,1,903,0.00110741971207087
"High Speed Craft",7,183,1003,0.182452642073779
"High Speed Craft",8,208,1003,0.207377866400798
"High Speed Craft",9,32,1003,0.0319042871385842
"High Speed Craft",13,32,1003,0.0319042871385842
"High Speed Craft",14,28,1003,0.0279162512462612
"High Speed Craft",15,6,1003,0.00598205383848455
"High Speed Craft",17,218,1003,0.217347956131605
"High Speed Craft",18,47,1003,0.0468594217347956
"High Speed Craft",19,244,1003,0.243270189431705
"High Speed Craft",20,5,1003,0.00498504486540379
"Passenger",0,37,5472,0.00676169590643275
"Passenger",1,16,5472,0.00292397660818713
"Passenger",4,27,5472,0.00493421052631579
"Passenger",5,100,5472,0.0182748538011696
"Passenger",6,281,5472,0.0513523391812866
"Passenger",7,545,5472,0.0995979532163743
"Passenger",8,289,5472,0.0528143274853801
"Passenger",9,240,5472,0.043859649122807
"Passenger",10,20,5472,0.00365497076023392
"Passenger",11,34,5472,0.00621345029239766
"Passenger",12,87,5472,0.0158991228070175
"Passenger",13,254,5472,0.0464181286549708
"Passenger",14,57,5472,0.0104166666666667
"Passenger",15,481,5472,0.0879020467836257
"Passenger",16,430,5472,0.0785818713450292
"Passenger",17,575,5472,0.105080409356725
"Passenger",18,124,5472,0.0226608187134503
"Passenger",19,401,5472,0.0732821637426901
"Passenger",20,222,5472,0.0405701754385965
"Passenger",21,489,5472,0.0893640350877193
"Passenger",22,325,5472,0.0593932748538012
"Passenger",23,438,5472,0.0800438596491228
"Pleasure Craft",0,7,4127,0.0016961473225103
