Variables,Accuracy,Kappa,AccuracySD,KappaSD,Variables,Accuracy,Kappa,AccuracySD,KappaSD
1.0,0.491,0.418,0.038,0.043,1.0,0.601,0.504,0.037,0.041
2.0,0.609,0.552,0.04,0.046,2.0,0.701,0.628,0.027,0.031
3.0,0.672,0.624,0.037,0.042,3.0,0.732,0.666,0.021,0.026
4.0,0.718,0.677,0.04,0.046,4.0,0.755,0.697,0.02,0.024
5.0,0.744,0.706,0.039,0.045,5.0,0.765,0.71,0.023,0.028
6.0,0.75,0.714,0.035,0.04,6.0,0.767,0.712,0.023,0.027
7.0,0.753,0.717,0.032,0.037,7.0,0.768,0.714,0.022,0.027
8.0,0.753,0.717,0.032,0.037,8.0,0.768,0.714,0.023,0.028
9.0,0.757,0.721,0.033,0.038,9.0,0.77,0.717,0.023,0.028
10.0,0.76,0.725,0.034,0.039,10.0,0.773,0.72,0.024,0.029
11.0,0.769,0.735,0.032,0.037,11.0,0.794,0.746,0.02,0.024
12.0,0.772,0.739,0.032,0.037,12.0,0.81,0.766,0.02,0.025
13.0,0.774,0.741,0.032,0.037,13.0,0.829,0.789,0.022,0.027
14.0,0.774,0.742,0.032,0.036,14.0,0.834,0.796,0.021,0.025
15.0,0.774,0.741,0.031,0.036,15.0,0.835,0.797,0.02,0.024
16.0,0.776,0.744,0.032,0.037,16.0,0.837,0.799,0.019,0.023
17.0,0.777,0.745,0.032,0.036,17.0,0.839,0.801,0.019,0.023
18.0,0.778,0.746,0.031,0.036,18.0,0.839,0.801,0.019,0.023
19.0,0.779,0.747,0.03,0.035,19.0,0.839,0.802,0.019,0.023
20.0,0.78,0.748,0.031,0.035,20.0,0.839,0.802,0.018,0.022
21.0,0.78,0.748,0.031,0.035,21.0,0.839,0.801,0.018,0.022
22.0,0.78,0.748,0.031,0.035,22.0,0.838,0.8,0.018,0.022
23.0,0.782,0.75,0.031,0.035,23.0,0.837,0.798,0.019,0.023
24.0,0.783,0.751,0.03,0.034,24.0,0.837,0.799,0.019,0.023
25.0,0.786,0.755,0.031,0.035,25.0,0.838,0.8,0.019,0.023
26.0,0.786,0.755,0.031,0.036,26.0,0.839,0.801,0.018,0.022
27.0,0.786,0.755,0.031,0.035,27.0,0.84,0.802,0.019,0.023
28.0,0.787,0.755,0.031,0.035,28.0,0.84,0.802,0.019,0.023
29.0,0.786,0.755,0.031,0.035,29.0,0.841,0.804,0.019,0.023
30.0,0.786,0.755,0.031,0.036,30.0,0.841,0.804,0.019,0.023
31.0,0.787,0.756,0.031,0.036,31.0,0.84,0.803,0.019,0.023
32.0,0.786,0.755,0.031,0.035,32.0,0.841,0.803,0.019,0.023
33.0,0.786,0.755,0.031,0.036,33.0,0.84,0.803,0.019,0.023
34.0,0.786,0.754,0.031,0.035,34.0,0.84,0.802,0.019,0.023
