rowname,Overall
speed_avg_out,22.682774734655123
speed_max,22.023009433747212
speed_upperquartile,21.49843170869092
area_15_p,17.393839594992308
duration_segment,16.307626131385852
time_diff_avg,16.291002782095592
speed_avg,15.646090650563346
distance_segment,15.468865855741027
distance_total,14.999341883824336
duration_total,14.421325544666045
area_3_p,13.327346481369288
area_14_p,11.686391821774754
area_13_p,10.724012400302039
area_12_p,9.745480827892607
hour_min,9.621442176633119
hour_max,9.074073283641374
Afternoon,8.686563862050665
day_min,8.465695244330089
Night,8.330425818483718
Evening,8.16707405830666
day_max,7.769757154299697
Morning,6.846952361954938
area_1_p,5.99374462284033
In-week,5.747861866181095
Weekend,5.057465871316962
area_5_p,4.191359430467182
area_4_p,3.2831558802966145
area_11_p,3.2285678391770136
area_6_p,3.095833482957829
area_2_p,2.767187149620004
area_10_p,2.5075517758659296
area_9_p,2.3127010335941147
area_8_p,2.3044024030825474
