rowname,Overall
speed_avg_out,18.951011350914744
speed_upperquartile,18.032144231846992
speed_max,16.996283411822898
area_15_p,15.060632015602792
duration_segment,14.792474167059346
time_diff_avg,14.770145019523769
speed_avg,13.85747913766507
distance_segment,13.84975616159204
distance_total,12.08517698789968
duration_total,11.632108124659604
area_3_p,10.75409960133195
area_12_p,8.184444851181206
hour_min,7.918493613193606
hour_max,6.714830077734229
area_13_p,6.471071436400623
Night,6.382699479232802
Afternoon,6.321667951498495
day_max,6.206162497122254
day_min,6.140899054285979
Evening,6.109099554606149
In-week,5.829070083409319
Morning,5.28722864152079
area_14_p,4.908081688146595
Weekend,4.6403799450315315
area_5_p,2.987034304668522
area_1_p,2.751616160709057
area_8_p,1.4606760721878536
area_11_p,1.448583514869489
area_4_p,1.3083032136917125
area_10_p,1.30757438281315
area_6_p,1.2663748605495526
area_9_p,1.0632346558090615
area_2_p,0.9216925843642024
area_7_p,0.593338169797505
